# Psi_N                  T                      rho                    pres                   zj                     R                      Er                     B_theta                currdens               B_tor                  V_ExB                  dprof                  zkprof                 eta_T                  r_minor                
# time step #000000
  5.100274406192364E-02  9.093244795978089E-02  9.481213918787752E-01  8.621499913309796E-02  4.332933432610356E+00  1.698459816239980E+00  0.000000000000000E+00  1.285639957182483E-01  2.548483883387122E+00  2.494716145078892E+00  0.000000000000000E+00  6.526961494937546E-07  5.337612733599733E-07  3.459050616117159E-08  1.038785825656695E-01
  5.433506544364263E-02  9.024600727778875E-02  9.449919485712538E-01  8.528175027566288E-02  4.317638597989216E+00  1.697963081347052E+00  0.000000000000000E+00  1.325656980986460E-01  2.540073299901848E+00  2.495673850227686E+00  0.000000000000000E+00  6.643773445895282E-07  5.120007690871278E-07  3.498591576743039E-08  1.071322051809630E-01
  5.766780646355920E-02  8.955728044967123E-02  9.418932766361403E-01  8.435340033745971E-02  4.301790697909009E+00  1.697466179465837E+00  0.000000000000000E+00  1.364308924439246E-01  2.531335532170425E+00  2.496632677129515E+00  0.000000000000000E+00  6.757297714170371E-07  4.881466752370750E-07  3.539027160080241E-08  1.102916384554757E-01
  6.100323449724748E-02  8.886597168644010E-02  9.388231444514853E-01  8.342943098534393E-02  4.285397036543935E+00  1.696968926082602E+00  0.000000000000000E+00  1.401755774858958E-01  2.522274943209138E+00  2.497593069077000E+00  0.000000000000000E+00  6.869310007953140E-07  4.640009709199485E-07  3.580403725706355E-08  1.133668516553872E-01
  6.433673879980116E-02  8.817318710717334E-02  9.357856323079730E-01  8.251120166016632E-02  4.268486260806187E+00  1.696468895640333E+00  0.000000000000000E+00  1.438069249367682E-01  2.512911304137416E+00  2.498558422274375E+00  0.000000000000000E+00  6.977532225135545E-07  4.392363674562772E-07  3.622683830433910E-08  1.163609781814024E-01
  6.767550705070427E-02  8.747757402830240E-02  9.327741218312156E-01  8.159681730713268E-02  4.251051208115453E+00  1.695968776256845E+00  0.000000000000000E+00  1.473372985322902E-01  2.503236585813447E+00  2.499525127673258E+00  0.000000000000000E+00  7.082384431500626E-07  4.145736799637522E-07  3.665980458730818E-08  1.192865536783371E-01
  7.100674549536509E-02  8.678203850354002E-02  9.298000188457592E-01  8.068994105108765E-02  4.233180605380206E+00  1.695467976341405E+00  0.000000000000000E+00  1.507477472398842E-01  2.493303709945388E+00  2.500493252564953E+00  0.000000000000000E+00  7.183493070360155E-07  3.901062887941260E-07  3.710141473190161E-08  1.221379615341438E-01
  7.434294614116349E-02  8.608423367655578E-02  9.268519480011821E-01  7.978733969167008E-02  4.214860037163869E+00  1.694970826273155E+00  0.000000000000000E+00  1.540612326865931E-01  2.483098500503541E+00  2.501457182045463E+00  0.000000000000000E+00  7.279547074950930E-07  3.664591883897964E-07  3.755344770619858E-08  1.249310646136290E-01
  7.767175461781370E-02  8.538697180546725E-02  9.239406184715869E-01  7.889249155340237E-02  4.196163075407629E+00  1.694472034577903E+00  0.000000000000000E+00  1.572738209631416E-01  2.472670783729373E+00  2.502424009508359E+00  0.000000000000000E+00  7.373186457399099E-07  3.432268792298418E-07  3.801437229031924E-08  1.276605074832844E-01
  8.100240301014514E-02  8.468852168140982E-02  9.210577184225730E-01  7.800301657202340E-02  4.177071945618811E+00  1.693973047007328E+00  0.000000000000000E+00  1.604017420766793E-01  2.462008296744350E+00  2.503392164909697E+00  0.000000000000000E+00  7.463780117569917E-07  3.216956007099866E-07  3.848561345945498E-08  1.303371381880685E-01
