0 0 0 0
0.0122959 0.0122897 0.0122949 5.24495e-06
0.0245917 0.0245794 0.0245843 4.91328e-06
0.0368876 0.0368579 0.0368625 4.58185e-06
0.0491834 0.0491197 0.049124 4.25077e-06
0.0614793 0.0613592 0.0613632 3.92016e-06
0.0737752 0.0735709 0.0735745 3.59013e-06
0.086071 0.0857492 0.0857524 3.2608e-06
0.0983669 0.0978884 0.0978914 2.93229e-06
0.110663 0.109983 0.109986 2.60472e-06
0.122959 0.122028 0.12203 2.2782e-06
0.135254 0.134017 0.134019 1.95284e-06
0.14755 0.145945 0.145947 1.62877e-06
0.159846 0.157807 0.157808 1.30609e-06
0.172142 0.169597 0.169598 9.84931e-07
0.184438 0.181309 0.18131 6.65398e-07
0.196734 0.192938 0.192939 3.47607e-07
0.20903 0.20448 0.20448 3.16734e-08
0.221326 0.215927 0.215927 -2.8229e-07
0.233621 0.227276 0.227275 -5.94169e-07
0.245917 0.23852 0.238519 -9.03852e-07
0.258213 0.249654 0.249653 -1.21123e-06
0.270509 0.260673 0.260672 -1.51618e-06
0.282805 0.271573 0.271571 -1.8186e-06
0.295101 0.282346 0.282344 -2.11837e-06
0.307397 0.29299 0.292987 -2.4154e-06
0.319692 0.303497 0.303494 -2.70955e-06
0.331988 0.313863 0.31386 -3.00074e-06
0.344284 0.324084 0.324081 -3.28885e-06
0.35658 0.334153 0.33415 -3.57376e-06
0.368876 0.344067 0.344063 -3.85538e-06
0.381172 0.353819 0.353815 -4.1336e-06
0.393468 0.363405 0.363401 -4.40831e-06
0.405763 0.372821 0.372816 -4.6794e-06
0.418059 0.38206 0.382055 -4.94678e-06
0.430355 0.39112 0.391114 -5.21034e-06
0.442651 0.399993 0.399988 -5.46997e-06
0.454947 0.408677 0.408672 -5.72558e-06
0.467243 0.417167 0.417161 -5.97706e-06
0.479539 0.425457 0.42545 -6.22432e-06
0.491834 0.433543 0.433536 -6.46725e-06
0.50413 0.441421 0.441414 -6.70575e-06
0.516426 0.449086 0.449079 -6.93974e-06
0.528722 0.456533 0.456526 -7.1691e-06
0.541018 0.46376 0.463752 -7.39376e-06
0.553314 0.47076 0.470753 -7.6136e-06
0.56561 0.477531 0.477523 -7.82855e-06
0.577905 0.484067 0.484059 -8.0385e-06
0.590201 0.490364 0.490356 -8.24337e-06
0.602497 0.49642 0.496411 -8.44306e-06
0.614793 0.502229 0.50222 -8.63749e-06
0.627089 0.507787 0.507778 -8.82657e-06
0.639385 0.513092 0.513083 -9.01021e-06
0.651681 0.518138 0.518129 -9.18833e-06
0.663977 0.522923 0.522913 -9.36084e-06
0.676272 0.527442 0.527432 -9.52766e-06
0.688568 0.531692 0.531683 -9.6887e-06
0.700864 0.53567 0.53566 -9.84389e-06
0.71316 0.539372 0.539362 -9.99315e-06
0.725456 0.542794 0.542784 -1.01364e-05
0.737752 0.545934 0.545923 -1.02735e-05
0.750048 0.548788 0.548777 -1.04045e-05
0.762343 0.551352 0.551342 -1.05293e-05
0.774639 0.553625 0.553614 -1.06477e-05
0.786935 0.555602 0.555591 -1.07598e-05
0.799231 0.557281 0.55727 -1.08654e-05
0.811527 0.558659 0.558648 -1.09645e-05
0.823823 0.559734 0.559723 -1.10569e-05
0.836119 0.560502 0.56049 -1.11428e-05
0.848414 0.56096 0.560949 -1.12219e-05
0.86071 0.561107 0.561096 -1.12942e-05
0.873006 0.56094 0.560929 -1.13597e-05
0.885302 0.560457 0.560446 -1.14183e-05
0.897598 0.559655 0.559643 -1.14699e-05
0.909894 0.558531 0.55852 -1.15144e-05
0.92219 0.557085 0.557073 -1.15519e-05
0.934485 0.555313 0.555301 -1.15823e-05
0.946781 0.553214 0.553203 -1.16055e-05
0.959077 0.550786 0.550775 -1.16215e-05
0.971373 0.548028 0.548016 -1.16301e-05
0.983669 0.544936 0.544925 -1.16314e-05
0.995965 0.541511 0.541499 -1.16254e-05
1.00826 0.53775 0.537739 -1.16119e-05
1.02056 0.533652 0.53364 -1.15909e-05
1.03285 0.529216 0.529204 -1.15625e-05
1.04515 0.524439 0.524428 -1.15265e-05
1.05744 0.519322 0.519311 -1.14829e-05
1.06974 0.513864 0.513852 -1.14316e-05
1.08204 0.508062 0.50805 -1.13728e-05
1.09433 0.501916 0.501905 -1.13062e-05
1.10663 0.495426 0.495415 -1.12319e-05
1.11892 0.48859 0.488579 -1.11498e-05
1.13122 0.481409 0.481398 -1.10599e-05
1.14352 0.473881 0.47387 -1.09623e-05
1.15581 0.466007 0.465996 -1.08568e-05
1.16811 0.457785 0.457774 -1.07434e-05
1.1804 0.449216 0.449205 -1.06222e-05
1.1927 0.440299 0.440289 -1.0493e-05
1.20499 0.431035 0.431024 -1.03559e-05
1.21729 0.421423 0.421413 -1.02109e-05
1.22959 0.411464 0.411454 -1.0058e-05
1.24188 0.401157 0.401147 -9.89707e-06
1.25418 0.390504 0.390494 -9.72818e-06
1.26647 0.379505 0.379495 -9.5513e-06
1.27877 0.368159 0.36815 -9.36644e-06
1.29107 0.356468 0.356459 -9.17357e-06
1.30336 0.344433 0.344424 -8.9727e-06
1.31566 0.332054 0.332046 -8.76383e-06
1.32795 0.319333 0.319324 -8.54695e-06
1.34025 0.306269 0.306261 -8.32207e-06
1.35254 0.292865 0.292857 -8.08919e-06
1.36484 0.279121 0.279114 -7.84831e-06
1.37714 0.26504 0.265032 -7.59944e-06
1.38943 0.250621 0.250614 -7.34259e-06
1.40173 0.235867 0.23586 -7.07777e-06
1.41402 0.22078 0.220773 -6.80499e-06
1.42632 0.20536 0.205353 -6.52426e-06
